iter	Passed	Remaining
407	3917	883
408	3923	872
409	3931	862
410	3941	853
411	3950	843
412	3961	834
413	3968	824
414	3974	814
415	3982	804
416	3987	793
417	3995	783
418	4002	773
419	4010	763
420	4018	754
421	4025	744
422	4035	734
423	4041	724
424	4049	714
425	4055	704
426	4064	694
427	4069	684
428	4078	674
429	4084	664
430	4093	655
431	4099	645
432	4109	635
433	4115	625
434	4123	616
435	4128	606
436	4135	596
437	4144	586
438	4149	576
439	4162	567
440	4170	557
441	4176	548
442	4183	538
443	4192	528
444	4199	519
445	4207	509
446	4216	499
447	4224	490
448	4230	480
449	4238	470
450	4244	461
451	4252	451
452	4259	441
453	4267	432
454	4273	422
455	4279	412
456	4287	403
457	4295	393
458	4304	384
459	4310	374
460	4318	365
461	4324	355
462	4331	346
463	4338	336
464	4344	327
465	4366	318
466	4373	309
467	4381	299
468	4388	290
469	4394	280
470	4402	271
471	4408	261
472	4419	252
473	4425	242
474	4433	233
475	4439	223
476	4447	214
477	4454	204
478	4463	195
479	4469	186
480	4480	176
481	4486	167
482	4495	158
483	4501	148
484	4506	139
485	4514	130
486	4521	120
487	4529	111
488	4534	102
489	4545	92
490	4551	83
491	4559	74
492	4566	64
493	4574	55
494	4580	46
495	4585	36
496	4593	27
497	4599	18
498	4607	9
499	4615	0
